player,team,exp_g_match,is_taker,exp_goals,p_gb
Romano Schmid,Austria,0.0690250952515516,False,1.28115,0.0
Dejan Ljubičić,Austria,0.0886419576927772,False,0.357,0.0
Konrad Laimer,Austria,0.0506780428732559,False,0.20385,0.0
Stefan Posch,Austria,0.0481520394296693,False,0.1927,0.0
Pape Gueye,Senegal,0.1026445951320003,False,2.46345,0.0
Ramiz Zerrouki,Algeria,0.0689457994950328,False,0.2789,0.0
Riyad Mahrez (captain),Algeria,0.2333333333333333,False,0.9437,0.0
Houssem Aouar,Algeria,0.1143132341245239,False,0.4539,0.0
Farès Chaïbi,Algeria,0.0939273343756776,False,0.38185,0.0
Anis Hadj Moussa,Algeria,0.2030025494907966,False,0.81665,0.0
Hicham Boudaoui,Algeria,0.0892614173442017,False,0.3629,0.0
Rafik Belghali,Algeria,0.0649059940358195,False,0.26045,0.0
Mohamed Amoura,Algeria,0.2767961607557591,False,1.115,0.0
Nabil Bentaleb,Algeria,0.0452038987139957,False,0.1784,0.0
Adil Boulbina,Algeria,0.2333333333333333,False,0.93765,0.0
Exequiel Palacios,Argentina,0.064601952868181,False,0.42345,0.0
Ibrahim Maza,Algeria,0.1262954670502491,False,0.5065,0.0
Yacine Titraoui,Algeria,0.0826666666666666,False,0.3316,0.0
Farès Ghedjemis,Algeria,0.2333333333333333,False,0.9403,0.0
Samir Chergui,Algeria,0.0679648293041796,False,0.27325,0.0
Nicolás Tagliafico,Argentina,0.0752135288418887,False,0.4853,0.0
Leandro Paredes,Argentina,0.0459478513055779,False,0.29305,0.0
Lisandro Martínez,Argentina,0.0485186841213106,False,0.3195,0.0
Rodrigo De Paul,Argentina,0.0854428650507364,False,0.5645,0.0
Omar Marmoush,Egypt,0.3105505908852195,False,1.38735,0.0
Giovani Lo Celso,Argentina,0.0547016005126423,False,0.35205,0.0
Cristian Romero,Argentina,0.0843195706691638,False,0.55755,0.0
Ramy Bensebaini,Algeria,0.0939549613412656,True,0.3719,0.0
Cucho Hernández,Colombia,0.2333333333333333,False,1.19375,0.0
Juan Fernando Quintero,Colombia,0.0826666666666666,False,0.4248,0.0
Deiver Machado,Colombia,0.0666711069188694,False,0.3377,0.0
Davinson Sánchez,Colombia,0.0936966645350147,False,0.4737,0.0
Luis Suárez,Colombia,0.0796007508124803,False,0.4087,0.0
Andrés Gómez,Colombia,0.1154114568998533,False,0.5942,0.0
Steve Kapuadi,DR Congo,0.066469253408355,False,0.2208,0.0
Ngal'ayel Mukau,DR Congo,0.0826666666666666,False,0.2819,0.0
Nathanaël Mbuku,DR Congo,0.0826666666666666,False,0.2759,0.0
Samuel Moutoussamy,DR Congo,0.0658403836319182,False,0.22005,0.0
Patrick Wimmer,Austria,0.1277410187610823,False,0.5168,0.0
Théo Bongonda,DR Congo,0.0826666666666666,False,0.2727,0.0
Gaël Kakuta,DR Congo,0.2333333333333333,False,0.77335,0.0
Meschak Elia,DR Congo,0.2333333333333333,False,0.7721,0.0
Noah Sadiki,DR Congo,0.0534742182983781,False,0.17865,0.0
Aaron Tshibola,DR Congo,0.0826666666666666,False,0.27595,0.0
Cédric Bakambu,DR Congo,0.2269869622310743,False,0.75185,0.0
Charles Pickel,DR Congo,0.0420593613110045,False,0.13915,0.0
Fiston Mayele,DR Congo,0.2333333333333333,False,0.7759,0.0
Yoane Wissa,DR Congo,0.3399862539281855,False,2.13775,0.0
Chancel Mbemba (captain),DR Congo,0.0650273800858622,False,0.21215,0.0
Simon Banza,DR Congo,0.2370691516348529,False,0.7751,0.0
Brian Cipenga,DR Congo,0.2333333333333333,False,0.77265,0.0
Paul Wanner,Austria,0.0949613912826223,False,0.3811,0.0
Alessandro Schöpf,Austria,0.0826666666666666,False,0.33485,0.0
Amer Jamous,Jordan,0.0826666666666666,False,0.2485,0.0
