player,team_sim,pos,age,caps,goals,share,exp_goals,goals_90pct,p_golden_boot
Ellyes Skhiri (captain),Tunisia,MF,31,83,4,0.0804033777768973,0.1851,1.0,0.0
Aymen Dahmen,Tunisia,GK,29,37,0,0.00010476343729696726,0.0002,0.0,0.0
Hadj Mahmoud,Tunisia,MF,26,9,0,0.015935368246144103,0.03575,0.0,0.0
Micky van de Ven,Netherlands,DF,25,21,1,0.00613287029469745,0.0582,0.0,0.0
Rani Khedira,Tunisia,MF,32,3,0,0.02276481178020586,0.0518,0.0,0.0
Mortadha Ben Ouanes,Tunisia,DF,31,18,0,0.00311237661057502,0.00735,0.0,0.0
Ismaël Gharbi,Tunisia,MF,22,17,2,0.039838420615360255,0.0922,0.0,0.0
Hannibal Mejbri,Tunisia,MF,23,45,1,0.027439728485069568,0.0644,0.0,0.0
Hazem Mastouri,Tunisia,FW,28,19,4,0.08536804417577197,0.20215,1.0,0.0
Elias Saad,Tunisia,FW,26,15,4,0.09959605153840063,0.22805,1.0,0.0
Elias Achouri,Tunisia,FW,27,30,4,0.08755696838540716,0.20955,1.0,0.0
Dylan Bronn,Tunisia,DF,30,52,2,0.03362983558439502,0.07695,0.0,0.0
Adem Arous,Tunisia,DF,21,2,0,0.00622475322115004,0.01415,0.0,0.0
Khalil Ayari,Tunisia,MF,21,4,0,0.021247157661525472,0.0507,0.0,0.0
Joaquin Seys,Belgium,DF,21,5,0,0.0020673610890944187,0.0215,0.0,0.0
Charles De Ketelaere,Belgium,FW,25,30,6,0.03222962928639504,0.3372,1.0,0.0
Koni De Winter,Belgium,DF,23,8,0,0.0017854482133088164,0.0182,0.0,0.0
Thomas Meunier,Belgium,DF,34,80,10,0.039442199011897806,0.41875,1.0,0.0
Dodi Lukébakio,Belgium,FW,28,30,6,0.03222962928639504,0.34625,1.0,0.0
Mike Penders,Belgium,GK,20,0,0,5.237314759039194e-05,0.00055,0.0,0.0
Senne Lammens,Belgium,GK,23,2,0,4.909982586599245e-05,0.0006,0.0,0.0
Leandro Trossard,Belgium,FW,31,51,12,0.0538049314813523,0.57355,2.0,0.0
Moutaz Neffati,Tunisia,DF,21,5,0,0.005241897449389507,0.0126,0.0,0.0
Axel Witsel,Belgium,MF,37,138,12,0.05360161918033992,0.5644,2.0,0.0
Maxim De Cuyper,Belgium,DF,25,19,4,0.02023507975083325,0.21035,1.0,0.0
Brandon Mechele,Belgium,DF,33,9,1,0.008539100150607382,0.09145,0.0,0.0
Arthur Theate,Belgium,DF,26,33,1,0.004178708584339783,0.04335,0.0,0.0
Zeno Debast,Belgium,DF,22,26,1,0.004909982586599245,0.05095,0.0,0.0
Thibaut Courtois,Belgium,GK,34,109,0,3.5455761631505956e-05,0.00055,0.0,0.0
Matěj Kovář,Czech Republic,GK,26,20,0,4.439875837735422e-05,0.00025,0.0,0.0
Anis Ben Slimane,Tunisia,MF,25,41,4,0.07179671407603386,0.16545,1.0,0.0
Raed Chikhaoui,Tunisia,DF,22,0,0,0.007114003681314331,0.0144,0.0,0.0
Youri Tielemans (captain),Belgium,MF,29,85,13,0.05524613500317424,0.58385,2.0,0.0
Daniel Svensson,Sweden,DF,24,13,0,0.002533117586111258,0.02495,0.0,0.0
